"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Управление пользователем","Редактирование данных пользователя","","0","0","5","0","0"
"Заказы","Получение заказов","","0","0","2","0","0"
"Авторизация","Вход пользователя","","0","0","3","0","0"
"Заказы","Создание заказа","","0","0","4","0","0"
"Авторизация","Регистрация пользователя","","0","0","2","0","0"
